region,input,output,tambon_input,district_input,province_input,postcode_input,tambon_output,district_output,province_output,postcode_output,check
ภาคกลาง,พระบรมมหาราชวัง พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,วังบูรพาภิรมย์ พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,วัดราชบพิธ พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",วัดราชบพิธ,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,สำราญราษฎร์ พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",สำราญราษฎร์,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,ศาลเจ้าพ่อเสือ พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,เสาชิงช้า พระนคร กรุงเทพมหานคร 10200,"['O', 'LOC', 'LOC', 'POST']",เสาชิงช้า,พระนคร,กรุงเทพมหานคร,10200,O,LOC,LOC,POST,False
ภาคกลาง,บวรนิเวศ พระนคร กรุงเทพมหานคร 10200,"['O', 'LOC', 'LOC', 'POST']",บวรนิเวศ,พระนคร,กรุงเทพมหานคร,10200,O,LOC,LOC,POST,False
ภาคกลาง,ตลาดยอด พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",ตลาดยอด,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,ชนะสงคราม พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",ชนะสงคราม,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,บ้านพานถม พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",บ้านพานถม,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,บางขุนพรหม พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",บางขุนพรหม,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,วัดสามพระยา พระนคร กรุงเทพมหานคร 10200,"['LOC', 'LOC', 'LOC', 'POST']",วัดสามพระยา,พระนคร,กรุงเทพมหานคร,10200,LOC,LOC,LOC,POST,True
ภาคกลาง,ดุสิต ดุสิต กรุงเทพมหานคร 10300,"['LOC', 'LOC', 'LOC', 'POST']",ดุสิต,ดุสิต,กรุงเทพมหานคร,10300,LOC,LOC,LOC,POST,True
ภาคกลาง,วชิรพยาบาล ดุสิต กรุงเทพมหานคร 10300,"['O', 'LOC', 'LOC', 'POST']",วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร,10300,O,LOC,LOC,POST,False
ภาคกลาง,สวนจิตรลดา ดุสิต กรุงเทพมหานคร 10300,"['O', 'LOC', 'LOC', 'POST']",สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,10300,O,LOC,LOC,POST,False
ภาคกลาง,สี่แยกมหานาค ดุสิต กรุงเทพมหานคร 10300,"['LOC', 'LOC', 'LOC', 'POST']",สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,10300,LOC,LOC,LOC,POST,True
ภาคกลาง,ถนนนครไชยศรี ดุสิต กรุงเทพมหานคร 10300,"['O', 'LOC', 'LOC', 'POST']",ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,O,LOC,LOC,POST,False
ภาคกลาง,กระทุ่มราย หนองจอก กรุงเทพมหานคร 10530,"['O', 'O', 'LOC', 'POST']",กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,10530,O,O,LOC,POST,False
ภาคกลาง,หนองจอก หนองจอก กรุงเทพมหานคร 10530,"['O', 'O', 'LOC', 'POST']",หนองจอก,หนองจอก,กรุงเทพมหานคร,10530,O,O,LOC,POST,False
ภาคกลาง,คลองสิบ หนองจอก กรุงเทพมหานคร 10530,"['O', 'O', 'LOC', 'POST']",คลองสิบ,หนองจอก,กรุงเทพมหานคร,10530,O,O,LOC,POST,False
ภาคกลาง,คลองสิบสอง หนองจอก กรุงเทพมหานคร 10530,"['O', 'O', 'LOC', 'POST']",คลองสิบสอง,หนองจอก,กรุงเทพมหานคร,10530,O,O,LOC,POST,False
ภาคกลาง,โคกแฝด หนองจอก กรุงเทพมหานคร 10530,"['LOC', 'LOC', 'LOC', 'POST']",โคกแฝด,หนองจอก,กรุงเทพมหานคร,10530,LOC,LOC,LOC,POST,True
ภาคกลาง,คู้ฝั่งเหนือ หนองจอก กรุงเทพมหานคร 10530,"['O', 'O', 'LOC', 'POST']",คู้ฝั่งเหนือ,หนองจอก,กรุงเทพมหานคร,10530,O,O,LOC,POST,False
ภาคกลาง,ลำผักชี หนองจอก กรุงเทพมหานคร 10530,"['O', 'O', 'LOC', 'POST']",ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,O,O,LOC,POST,False
ภาคกลาง,ลำต้อยติ่ง หนองจอก กรุงเทพมหานคร 10530,"['O', 'O', 'LOC', 'POST']",ลำต้อยติ่ง,หนองจอก,กรุงเทพมหานคร,10530,O,O,LOC,POST,False
ภาคกลาง,มหาพฤฒาราม บางรัก กรุงเทพมหานคร 10500,"['O', 'O', 'LOC', 'POST']",มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,10500,O,O,LOC,POST,False
ภาคกลาง,สีลม บางรัก กรุงเทพมหานคร 10500,"['O', 'O', 'LOC', 'POST']",สีลม,บางรัก,กรุงเทพมหานคร,10500,O,O,LOC,POST,False
ภาคกลาง,สุริยวงศ์ บางรัก กรุงเทพมหานคร 10500,"['LOC', 'LOC', 'LOC', 'POST']",สุริยวงศ์,บางรัก,กรุงเทพมหานคร,10500,LOC,LOC,LOC,POST,True
ภาคกลาง,บางรัก บางรัก กรุงเทพมหานคร 10500,"['O', 'O', 'LOC', 'POST']",บางรัก,บางรัก,กรุงเทพมหานคร,10500,O,O,LOC,POST,False
ภาคกลาง,สี่พระยา บางรัก กรุงเทพมหานคร 10500,"['LOC', 'LOC', 'LOC', 'POST']",สี่พระยา,บางรัก,กรุงเทพมหานคร,10500,LOC,LOC,LOC,POST,True
ภาคกลาง,อนุสาวรีย์ บางเขน กรุงเทพมหานคร 10220,"['LOC', 'LOC', 'LOC', 'POST']",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,LOC,LOC,LOC,POST,True
ภาคกลาง,ท่าแร้ง บางเขน กรุงเทพมหานคร 10220,"['LOC', 'LOC', 'LOC', 'POST']",ท่าแร้ง,บางเขน,กรุงเทพมหานคร,10220,LOC,LOC,LOC,POST,True
ภาคกลาง,คลองจั่น บางกะปิ กรุงเทพมหานคร 10240,"['O', 'O', 'LOC', 'POST']",คลองจั่น,บางกะปิ,กรุงเทพมหานคร,10240,O,O,LOC,POST,False
ภาคกลาง,หัวหมาก บางกะปิ กรุงเทพมหานคร 10240,"['O', 'O', 'LOC', 'POST']",หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10240,O,O,LOC,POST,False
ภาคกลาง,รองเมือง ปทุมวัน กรุงเทพมหานคร 10330,"['O', 'O', 'LOC', 'POST']",รองเมือง,ปทุมวัน,กรุงเทพมหานคร,10330,O,O,LOC,POST,False
ภาคกลาง,วังใหม่ ปทุมวัน กรุงเทพมหานคร 10330,"['LOC', 'LOC', 'LOC', 'POST']",วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10330,LOC,LOC,LOC,POST,True
ภาคกลาง,ปทุมวัน ปทุมวัน กรุงเทพมหานคร 10330,"['O', 'O', 'LOC', 'POST']",ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,10330,O,O,LOC,POST,False
ภาคกลาง,ลุมพินี ปทุมวัน กรุงเทพมหานคร 10330,"['LOC', 'LOC', 'LOC', 'POST']",ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,LOC,LOC,LOC,POST,True
ภาคกลาง,ป้อมปราบ ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,"['LOC', 'LOC', 'LOC', 'POST']",ป้อมปราบ,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,LOC,LOC,LOC,POST,True
ภาคกลาง,วัดเทพศิรินทร์ ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,"['LOC', 'LOC', 'LOC', 'POST']",วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,LOC,LOC,LOC,POST,True
ภาคกลาง,คลองมหานาค ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,"['LOC', 'LOC', 'LOC', 'POST']",คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,LOC,LOC,LOC,POST,True
ภาคกลาง,บ้านบาตร ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,"['LOC', 'LOC', 'LOC', 'POST']",บ้านบาตร,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,LOC,LOC,LOC,POST,True
ภาคกลาง,วัดโสมนัส ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,"['LOC', 'LOC', 'LOC', 'POST']",วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,LOC,LOC,LOC,POST,True
ภาคกลาง,บางจาก พระโขนง กรุงเทพมหานคร 10260,"['LOC', 'LOC', 'LOC', 'POST']",บางจาก,พระโขนง,กรุงเทพมหานคร,10260,LOC,LOC,LOC,POST,True
ภาคกลาง,พระโขนงใต้ พระโขนง กรุงเทพมหานคร 10260,"['LOC', 'LOC', 'LOC', 'POST']",พระโขนงใต้,พระโขนง,กรุงเทพมหานคร,10260,LOC,LOC,LOC,POST,True
ภาคกลาง,มีนบุรี มีนบุรี กรุงเทพมหานคร 10510,"['O', 'O', 'LOC', 'POST']",มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510,O,O,LOC,POST,False
ภาคกลาง,แสนแสบ มีนบุรี กรุงเทพมหานคร 10510,"['LOC', 'LOC', 'LOC', 'POST']",แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510,LOC,LOC,LOC,POST,True
ภาคกลาง,ลาดกระบัง ลาดกระบัง กรุงเทพมหานคร 10520,"['LOC', 'LOC', 'LOC', 'POST']",ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,10520,LOC,LOC,LOC,POST,True
ภาคกลาง,คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520,"['LOC', 'LOC', 'LOC', 'POST']",คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,10520,LOC,LOC,LOC,POST,True
ภาคกลาง,คลองสามประเวศ ลาดกระบัง กรุงเทพมหานคร 10520,"['O', 'O', 'LOC', 'POST']",คลองสามประเวศ,ลาดกระบัง,กรุงเทพมหานคร,10520,O,O,LOC,POST,False
ภาคกลาง,ลำปลาทิว ลาดกระบัง กรุงเทพมหานคร 10520,"['O', 'O', 'LOC', 'POST']",ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520,O,O,LOC,POST,False
ภาคกลาง,ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,"['LOC', 'LOC', 'LOC', 'POST']",ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,10520,LOC,LOC,LOC,POST,True
ภาคกลาง,ขุมทอง ลาดกระบัง กรุงเทพมหานคร 10520,"['O', 'O', 'LOC', 'POST']",ขุมทอง,ลาดกระบัง,กรุงเทพมหานคร,10520,O,O,LOC,POST,False
ภาคกลาง,ช่องนนทรี ยานนาวา กรุงเทพมหานคร 10120,"['O', 'LOC', 'LOC', 'POST']",ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,10120,O,LOC,LOC,POST,False
ภาคกลาง,บางโพงพาง ยานนาวา กรุงเทพมหานคร 10120,"['O', 'LOC', 'LOC', 'POST']",บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,10120,O,LOC,LOC,POST,False
ภาคกลาง,จักรวรรดิ สัมพันธวงศ์ กรุงเทพมหานคร 10100,"['O', 'O', 'LOC', 'POST']",จักรวรรดิ,สัมพันธวงศ์,กรุงเทพมหานคร,10100,O,O,LOC,POST,False
ภาคกลาง,สัมพันธวงศ์ สัมพันธวงศ์ กรุงเทพมหานคร 10100,"['LOC', 'LOC', 'LOC', 'POST']",สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,10100,LOC,LOC,LOC,POST,True
ภาคกลาง,ตลาดน้อย สัมพันธวงศ์ กรุงเทพมหานคร 10100,"['LOC', 'LOC', 'LOC', 'POST']",ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,10100,LOC,LOC,LOC,POST,True
ภาคกลาง,สามเสนใน พญาไท กรุงเทพมหานคร 10400,"['O', 'O', 'LOC', 'POST']",สามเสนใน,พญาไท,กรุงเทพมหานคร,10400,O,O,LOC,POST,False
ภาคกลาง,พญาไท พญาไท กรุงเทพมหานคร 10400,"['O', 'O', 'LOC', 'POST']",พญาไท,พญาไท,กรุงเทพมหานคร,10400,O,O,LOC,POST,False
ภาคกลาง,วัดกัลยาณ์ ธนบุรี กรุงเทพมหานคร 10600,"['LOC', 'LOC', 'LOC', 'POST']",วัดกัลยาณ์,ธนบุรี,กรุงเทพมหานคร,10600,LOC,LOC,LOC,POST,True
ภาคกลาง,หิรัญรูจี ธนบุรี กรุงเทพมหานคร 10600,"['LOC', 'LOC', 'LOC', 'POST']",หิรัญรูจี,ธนบุรี,กรุงเทพมหานคร,10600,LOC,LOC,LOC,POST,True
ภาคกลาง,บางยี่เรือ ธนบุรี กรุงเทพมหานคร 10600,"['LOC', 'LOC', 'LOC', 'POST']",บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,10600,LOC,LOC,LOC,POST,True
ภาคกลาง,บุคคโล ธนบุรี กรุงเทพมหานคร 10600,"['LOC', 'LOC', 'LOC', 'POST']",บุคคโล,ธนบุรี,กรุงเทพมหานคร,10600,LOC,LOC,LOC,POST,True
ภาคกลาง,ตลาดพลู ธนบุรี กรุงเทพมหานคร 10600,"['LOC', 'LOC', 'LOC', 'POST']",ตลาดพลู,ธนบุรี,กรุงเทพมหานคร,10600,LOC,LOC,LOC,POST,True
ภาคกลาง,ดาวคะนอง ธนบุรี กรุงเทพมหานคร 10600,"['O', 'LOC', 'LOC', 'POST']",ดาวคะนอง,ธนบุรี,กรุงเทพมหานคร,10600,O,LOC,LOC,POST,False
ภาคกลาง,สำเหร่ ธนบุรี กรุงเทพมหานคร 10600,"['O', 'O', 'LOC', 'POST']",สำเหร่,ธนบุรี,กรุงเทพมหานคร,10600,O,O,LOC,POST,False
ภาคกลาง,วัดอรุณ บางกอกใหญ่ กรุงเทพมหานคร 10600,"['LOC', 'LOC', 'LOC', 'POST']",วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,10600,LOC,LOC,LOC,POST,True
