Province,percentage_true
Amnat Charoen,35.71
Ang Thong,57.53
BangkokMetropolis,36.11
Bueng Kan,9.43
Buri Ram,53.97
Chachoengsao,74.19
Chai Nat,69.81
Chaiyaphum,20.16
Chanthaburi,61.84
Chiang Mai,44.61
Chiang Rai,31.45
Chon Buri,39.13
Chumphon,64.29
Kalasin,24.44
Kamphaeng Phet,26.92
Kanchanaburi,71.43
Khon Kaen,42.71
Krabi,20.75
Lampang,50
Lamphun,13.73
Loei,16.67
Lop Buri,75.81
Mae Hong Son,77.78
Maha Sarakham,50.38
Mukdahan,3.77
Nakhon Nayok,17.07
Nakhon Pathom,70.75
Nakhon Phanom,8.08
Nakhon Ratchasima,52.94
Nakhon Sawan,20.77
Nakhon Si Thammarat,54.71
Nan,27.27
Narathiwat,16.88
Nong Bua Lam Phu,22.03
Nong Khai,56.45
Nonthaburi,7.69
Pathum Thani,23.33
Pattani,45.22
Phangnga,45.83
Phatthalung,60
Phayao,63.24
Phetchabun,69.23
Phetchaburi,44.09
Phichit,66.29
Phitsanulok,58.06
Phra Nakhon Si Ayutthaya,42.11
Phrae,52.56
Phuket,41.18
Prachin Buri,70.77
Prachuap Khiri Khan,56.25
Ranong,10
Ratchaburi,3.85
Rayong,15.52
Roi Et,63.21
Sa Kaeo,37.29
Sakon Nakhon,56
Samut Prakan,90
Samut Sakhon,35
Samut Songkhram,0
Saraburi,45.05
Satun,13.89
Si Sa Ket,55.34
Sing Buri,44.19
Songkhla,9.45
Sukhothai,33.72
Suphan Buri,67.27
Surat Thani,60.31
Surin,6.92
Tak,6.35
Trang,37.93
Trat,63.16
Ubon Ratchathani,39.73
Udon Thani,20.51
Uthai Thani,14.29
Uttaradit,38.81
Yala,13.79
Yasothon,7.59
